gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Athaliana_geneID,Gene_Function
Soltu.DM.01G000490,4082.280582,1.200494654,0.222536646,5.39459309,6.87E-08,8.22E-05,AT1G68050,flavin-binding; kelch repeat; f box
Soltu.DM.01G002360,1294.817473,2.13260843,0.232527463,9.171426039,4.67E-20,4.82E-16,AT3G20810,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
Soltu.DM.01G035400,305.1472358,1.197832465,0.314756788,3.805581042,0.000141472,0.049971276,NA,conserved hypothetical protein
Soltu.DM.01G039720,223.8551934,1.460418427,0.312071705,4.679752773,2.87E-06,0.001915023,AT1G09155,phloem protein 2-B15
Soltu.DM.01G046580,514.0618218,-1.142726924,0.278011181,-4.110363191,3.95E-05,0.018144501,AT5G67420,LOB domain-containing protein
Soltu.DM.01G047590,280.5369734,2.155621395,0.350505607,6.150033987,7.75E-10,1.78E-06,AT5G42900,conserved hypothetical protein
Soltu.DM.01G048600,5270.00687,1.325686544,0.257057412,5.157161333,2.51E-07,0.000215765,AT2G15890,maternal effect embryo arrest
Soltu.DM.02G008160,41.83768092,1.82154147,0.368452792,4.943758092,7.66E-07,0.000586623,AT4G18750,Tetratricopeptide repeat (TPR)-like superfamily protein
Soltu.DM.02G020570,1582.032976,1.108651434,0.246367716,4.49998665,6.80E-06,0.003901718,AT4G04330,Chaperonin-like RbcX protein
Soltu.DM.02G026480,30.12041705,2.926303684,0.720807174,4.059759379,4.91E-05,0.021152703,AT3G03280,DUF4228 domain containing protein
Soltu.DM.02G029350,181.5175613,1.118910223,0.289855598,3.860233272,0.000113279,0.042570185,AT4G33950,Protein kinase superfamily protein
Soltu.DM.03G015440,1132.77248,2.161412489,0.466053556,4.637691232,3.52E-06,0.002275674,AT5G62360,Plant invertase/pectin methylesterase inhibitor superfamily protein
Soltu.DM.03G015480,315.3544731,2.801449493,0.522001757,5.366743419,8.02E-08,8.72E-05,AT5G62360,Plant invertase/pectin methylesterase inhibitor superfamily protein
Soltu.DM.03G015510,884.1054179,1.984872982,0.436419042,4.548089776,5.41E-06,0.003290933,AT5G62360,Plant invertase/pectin methylesterase inhibitor superfamily protein
Soltu.DM.03G017160,223.4081978,1.992870959,0.277838858,7.172758256,7.35E-13,3.80E-09,NA,hypothetical protein
Soltu.DM.03G017170,866.4674681,1.397913634,0.241950824,5.777676679,7.57E-09,1.30E-05,AT5G52190,Sugar isomerase (SIS) family protein
Soltu.DM.03G029900,1413.709602,1.711469755,0.253391043,6.754263024,1.44E-11,4.95E-08,AT5G61380,CCT motif -containing response regulator protein
Soltu.DM.03G036510,420.860068,-2.486980388,0.650223888,-3.824806243,0.000130875,0.04830455,AT1G17640,RNA-binding (RRM/RBD/RNP motifs) family protein
Soltu.DM.04G006580,607.9045335,1.452106665,0.38177783,3.803538475,0.000142644,0.049971276,AT5G52450,MATE efflux family protein
