gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Athaliana_geneID,Gene_Function
Soltu.DM.01G000030,255.1533077,-1.05545867,0.288539027,-3.657940767,0.00025425,0.015000048,AT2G02010,glutamate decarboxylase
Soltu.DM.01G000460,176.6918371,1.125545537,0.232143156,4.848497609,1.24E-06,0.000361427,AT3G46530,NB-ARC domain-containing disease resistance protein
Soltu.DM.01G000480,268.6913793,1.045358558,0.205210956,5.094067966,3.50E-07,0.000143954,AT3G46730,NB-ARC domain-containing disease resistance protein
Soltu.DM.01G000490,4082.280582,1.547665939,0.222480141,6.956422847,3.49E-12,5.07E-09,AT1G68050,flavin-binding; kelch repeat; f box
Soltu.DM.01G001550,857.8123705,-1.008371847,0.243557458,-4.140180529,3.47E-05,0.003758657,AT2G44300,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
Soltu.DM.01G002360,1294.817473,2.202437348,0.237103304,9.288935724,1.56E-20,3.39E-16,AT3G20810,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
Soltu.DM.01G007150,90.48905843,5.910333704,1.802458644,3.27903984,0.001041609,0.036108017,AT5G52300,CAP160 protein
Soltu.DM.01G020510,230.6739597,1.474223535,0.391993236,3.76083922,0.000169344,0.011593159,NA,hypothetical protein
Soltu.DM.01G020520,536.4007356,1.355686591,0.393492872,3.4452634,0.000570503,0.024691559,NA,hypothetical protein
Soltu.DM.01G020530,243.807527,1.607796983,0.464279321,3.462995038,0.000534198,0.023935891,NA,hypothetical protein
Soltu.DM.01G022000,394.4874126,1.992466862,0.51985662,3.83272384,0.000126732,0.009378109,AT1G48480,receptor-like kinase
Soltu.DM.01G024030,23.59604607,-2.460415924,0.66374537,-3.706867175,0.000209839,0.013357291,AT3G06120,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Soltu.DM.01G024810,361.3123392,-1.033392391,0.318651137,-3.243021197,0.001182694,0.039248858,AT4G02060,Minichromosome maintenance (MCM2/3/5) family protein
Soltu.DM.01G026010,271.7867452,1.776131353,0.489542637,3.62814435,0.000285466,0.015894085,AT5G50400,purple acid phosphatase
Soltu.DM.01G026800,219.4695463,1.846162631,0.429485455,4.298545176,1.72E-05,0.002383924,AT5G67090,Subtilase family protein
Soltu.DM.01G026810,94.25485789,1.074701529,0.257568185,4.172493306,3.01E-05,0.003452086,AT5G67090,subtilisin-like serine protease
Soltu.DM.01G026820,271.5047459,1.522395582,0.386103424,3.94297353,8.05E-05,0.006843735,AT3G14240,Subtilase family protein
Soltu.DM.01G026830,71.29567064,2.150603874,0.559007515,3.8471824,0.000119484,0.00903183,AT5G67090,Subtilisin-like serine endopeptidase family protein
Soltu.DM.01G026840,650.9125208,1.506409203,0.308417482,4.884318463,1.04E-06,0.000313812,AT5G67090,Subtilase family protein
Soltu.DM.01G027400,2980.240939,2.203145144,0.611235641,3.604412104,0.00031286,0.016977495,AT3G20910,nuclear factor Y; subunit A1
Soltu.DM.01G027460,1646.962083,5.901137493,1.480897731,3.984837959,6.75E-05,0.006024775,AT1G07985,Expressed protein
Soltu.DM.01G027470,3557.073487,1.183017897,0.317323541,3.728112622,0.000192919,0.012726819,AT2G41900,CCCH-type zinc finger protein with ARM repeat domain
